Team,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
J-Dub,1,4,3,1,5,2,4,1,2,2
Jerad,na,na,na,na,na,na,na,na,na,3
Bruce,na,na,na,na,na,na,na,na,4,na
Scott,4,6,1,4,9,9,3,3,8,na
Dan,8,9,4,na,na,na,1,2,3,10
Jimmy,5,1,8,6,10,4,na,5,1,8
Adam,na,na,na,na,na,3,6,na,7,na
chubbypig9,9,2,na,na,na,na,na,na,na,na
A-Li,2,10,na,2,3,6,12,na,na,na
Tuttle,na,na,7,8,4,1,8,8,6,5
Harry,6,5,6,na,2,8,7,4,9,7
Ben,na,na,2,10,7,na,5,10,5,6
Natt,na,na,10,3,1,5,10,9,10,4
Noah,3,3,9,5,7,12,11,6,12,1
A-Gooding,na,na,na,na,na,7,na,na,na,na
hforduva,7,8,na,na,na,na,na,na,na,na
Max,na,na,na,9,6,na,na,na,na,na
Michael M,na,na,na,na,na,na,2,7,11,12
Cody,na,na,na,na,na,na,na,na,na,9
Matt,na,na,na,na,na,na,9,na,na,na
Erf,na,na,na,na,na,10,na,na,na,na
Mike F,na,na,na,na,na,na,na,na,na,11
Jason,na,na,na,na,na,11,na,na,na,na
Alex,na,na,na,na,na,na,na,na,na,na
Arjun,na,na,na,na,na,na,na,na,na,na